issue,created_at,closed_at
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/465,2020-07-20 22:13:53,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/464,2020-07-19 22:02:04,2020-07-19 22:02:38
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/463,2020-07-19 21:33:18,2020-07-19 21:33:23
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/462,2020-07-19 21:09:58,2020-07-19 21:10:06
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/461,2020-07-19 21:00:24,2020-07-19 21:00:32
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/460,2020-07-19 18:01:44,2020-07-19 18:01:52
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/459,2020-07-18 21:52:37,2020-07-19 17:28:38
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/458,2020-07-17 16:00:13,2020-07-17 16:24:34
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/458,2020-07-17 16:24:34,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/457,2020-07-17 15:08:01,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/456,2020-07-15 16:14:07,2020-07-15 16:39:31
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/455,2020-07-15 15:17:03,2020-07-15 16:43:58
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/455,2020-07-15 16:14:23,
